,Rank_x,Country,Gold,Silver,Bronze,Total,population,gdp_per_capita_usd,temperature,Sport,Sport_Gold,Sport_Silver,Sport_Bronze,Sport_Total
30,5,Germany,8,10,8,26,83570702,54776.7668235491,10.4072,Alpine Skiing,0,2,0,2
31,5,Germany,8,10,8,26,83570702,54776.7668235491,10.4072,Biathlon,0,0,1,1
32,5,Germany,8,10,8,26,83570702,54776.7668235491,10.4072,Bobsleigh,3,4,1,8
33,5,Germany,8,10,8,26,83570702,54776.7668235491,10.4072,Cross-Country Skiing,0,0,1,1
34,5,Germany,8,10,8,26,83570702,54776.7668235491,10.4072,Figure Skating,0,0,1,1
35,5,Germany,8,10,8,26,83570702,54776.7668235491,10.4072,Freestyle Skiing,1,0,0,1
36,5,Germany,8,10,8,26,83570702,54776.7668235491,10.4072,Luge,3,1,1,5
37,5,Germany,8,10,8,26,83570702,54776.7668235491,10.4072,Skeleton,0,3,3,6
38,5,Germany,8,10,8,26,83570702,54776.7668235491,10.4072,Ski Jumping,1,0,0,1
39,6,France,8,9,6,23,67914198,44700.1384177544,13.709999999999999,Alpine Skiing,0,1,0,1
40,6,France,8,9,6,23,67914198,44700.1384177544,13.709999999999999,Biathlon,6,4,3,13
41,6,France,8,9,6,23,67914198,44700.1384177544,13.709999999999999,Cross-Country Skiing,0,3,0,3
42,6,France,8,9,6,23,67914198,44700.1384177544,13.709999999999999,Figure Skating,1,0,0,1
43,6,France,8,9,6,23,67914198,44700.1384177544,13.709999999999999,Freestyle Skiing,0,0,1,1
44,6,France,8,9,6,23,67914198,44700.1384177544,13.709999999999999,Ski Mountaineering,1,1,1,3
45,6,France,8,9,6,23,67914198,44700.1384177544,13.709999999999999,Snowboard,0,0,1,1
46,7,Sweden,8,6,4,18,10652755,54950.2834725622,6.3934,Alpine Skiing,0,1,1,2
47,7,Sweden,8,6,4,18,10652755,54950.2834725622,6.3934,Biathlon,1,1,1,3
48,7,Sweden,8,6,4,18,10652755,54950.2834725622,6.3934,Cross-Country Skiing,5,4,1,10
49,7,Sweden,8,6,4,18,10652755,54950.2834725622,6.3934,Curling,2,0,0,2
50,7,Sweden,8,6,4,18,10652755,54950.2834725622,6.3934,Freestyle Skiing,0,0,1,1
51,8,Switzerland,6,9,8,23,9055930,100623.549627296,7.377000000000001,Alpine Skiing,4,3,2,9
52,8,Switzerland,6,9,8,23,9055930,100623.549627296,7.377000000000001,Bobsleigh,0,0,1,1
53,8,Switzerland,6,9,8,23,9055930,100623.549627296,7.377000000000001,Cross-Country Skiing,0,1,1,2
54,8,Switzerland,6,9,8,23,9055930,100623.549627296,7.377000000000001,Curling,0,1,1,2
55,8,Switzerland,6,9,8,23,9055930,100623.549627296,7.377000000000001,Freestyle Skiing,1,3,1,5
56,8,Switzerland,6,9,8,23,9055930,100623.549627296,7.377000000000001,Ice Hockey,0,0,1,1
57,8,Switzerland,6,9,8,23,9055930,100623.549627296,7.377000000000001,Ski Jumping,0,0,1,1
58,8,Switzerland,6,9,8,23,9055930,100623.549627296,7.377000000000001,Ski Mountaineering,1,1,0,2
59,9,Austria,5,8,5,18,9163189,56579.504175468,8.031,Alpine Skiing,1,2,1,4
60,9,Austria,5,8,5,18,9163189,56579.504175468,8.031,Freestyle Skiing,0,0,1,1
61,9,Austria,5,8,5,18,9163189,56579.504175468,8.031,Luge,0,3,1,4
62,9,Austria,5,8,5,18,9163189,56579.504175468,8.031,Nordic Combined,0,2,1,3
63,9,Austria,5,8,5,18,9163189,56579.504175468,8.031,Skeleton,1,0,0,1
64,9,Austria,5,8,5,18,9163189,56579.504175468,8.031,Ski Jumping,1,0,0,1
65,9,Austria,5,8,5,18,9163189,56579.504175468,8.031,Snowboard,2,1,1,4
66,10,Japan,5,7,12,24,122638865,33836.1756271617,13.706,Figure Skating,1,3,2,6
67,10,Japan,5,7,12,24,122638865,33836.1756271617,13.706,Freestyle Skiing,0,1,1,2
68,10,Japan,5,7,12,24,122638865,33836.1756271617,13.706,Ski Jumping,0,1,3,4
69,10,Japan,5,7,12,24,122638865,33836.1756271617,13.706,Snowboard,4,2,3,9
70,10,Japan,5,7,12,24,122638865,33836.1756271617,13.706,Speed Skating,0,0,3,3
71,11,Canada,5,7,9,21,40969904,54220.3285039875,0.5432,Curling,1,0,1,2
72,11,Canada,5,7,9,21,40969904,54220.3285039875,0.5432,Figure Skating,0,0,1,1
73,11,Canada,5,7,9,21,40969904,54220.3285039875,0.5432,Freestyle Skiing,2,1,2,5
74,11,Canada,5,7,9,21,40969904,54220.3285039875,0.5432,Ice Hockey,0,2,0,2
75,11,Canada,5,7,9,21,40969904,54220.3285039875,0.5432,Short Track Speed Skating,1,2,2,5
76,11,Canada,5,7,9,21,40969904,54220.3285039875,0.5432,Snowboard,0,1,0,1
77,11,Canada,5,7,9,21,40969904,54220.3285039875,0.5432,Speed Skating,1,1,3,5
78,12,People's Republic of China,5,4,6,15,1408902044,12951.1782397043,13.235999999999999,Freestyle Skiing,3,3,3,9
79,12,People's Republic of China,5,4,6,15,1408902044,12951.1782397043,13.235999999999999,Short Track Speed Skating,0,1,0,1
80,12,People's Republic of China,5,4,6,15,1408902044,12951.1782397043,13.235999999999999,Snowboard,1,0,1,2
81,12,People's Republic of China,5,4,6,15,1408902044,12951.1782397043,13.235999999999999,Speed Skating,1,0,2,3
82,13,Republic of Korea,3,4,3,10,51355773,35674.095995632,13.351999999999999,Short Track Speed Skating,2,3,2,7
83,13,Republic of Korea,3,4,3,10,51355773,35674.095995632,13.351999999999999,Snowboard,1,1,1,3
84,14,Australia,3,2,1,6,27475920,65058.3773146674,19.387999999999998,Freestyle Skiing,2,1,1,4
85,14,Australia,3,2,1,6,27475920,65058.3773146674,19.387999999999998,Snowboard,1,1,0,2
86,15,Great Britain,3,1,1,5,69709264,49944.4702124201,10.2528,Curling,0,1,0,1
87,15,Great Britain,3,1,1,5,69709264,49944.4702124201,10.2528,Freestyle Skiing,0,0,1,1
88,15,Great Britain,3,1,1,5,69709264,49944.4702124201,10.2528,Skeleton,2,0,0,2
89,15,Great Britain,3,1,1,5,69709264,49944.4702124201,10.2528,Snowboard,1,0,0,1
